,algorithm,goal_reached,solution_length,explored_states
158,GoalAgentBFS,True,151,8393
159,GoalAgentAStar,True,154,6375
160,GoalAgentUCS,True,70,4192
161,GoalAgentAStar,True,70,1314
162,GoalAgentDFS,True,2827,3945
163,GoalAgentDLS,False,0,1631
164,GoalAgentDFS,True,404,7882
165,GoalAgentDLS,True,138,1382
166,GoalAgentBFS,True,135,7711
167,GoalAgentBFS,True,57,5024
168,GoalAgentUCS,True,46,1097
169,GoalAgentAStar,True,46,450
170,GoalAgentDFS,True,1197,2507
171,GoalAgentBFS,True,30,1542
172,GoalAgentDLS,False,0,2918
173,GoalAgentUCS,True,151,8393
174,GoalAgentDFS,True,1619,6632
175,GoalAgentDLS,False,0,3633
176,GoalAgentUCS,True,135,7711
177,GoalAgentDFS,True,230,8656
178,GoalAgentAStar,True,151,5659
179,GoalAgentDLS,True,128,931
180,GoalAgentUCS,True,57,5024
181,GoalAgentAStar,True,57,793
182,GoalAgentUCS,True,30,1542
183,GoalAgentAStar,True,30,296
184,GoalAgentAStar,True,135,4551
185,GoalAgentBFS,True,47,3505
186,GoalAgentBFS,True,63,5711
187,GoalAgentBFS,True,46,2194
188,GoalAgentDFS,True,363,1030
189,GoalAgentDLS,True,89,1441
190,GoalAgentBFS,True,107,7421
191,GoalAgentUCS,True,47,3505
192,GoalAgentDFS,True,1351,6843
193,GoalAgentAStar,True,47,566
194,GoalAgentBFS,True,5,50
195,GoalAgentDFS,True,294,8478
196,GoalAgentDLS,False,0,3795
197,GoalAgentDLS,True,128,1965
198,GoalAgentDFS,True,2591,4947
199,GoalAgentUCS,True,46,2194
200,GoalAgentAStar,True,46,376
201,GoalAgentDFS,True,469,5419
202,GoalAgentDLS,False,0,2059
203,GoalAgentUCS,True,63,5711
204,GoalAgentAStar,True,63,512
205,GoalAgentDLS,True,51,3102
206,GoalAgentUCS,True,5,50
207,GoalAgentAStar,True,5,11
208,GoalAgentBFS,True,28,1306
209,GoalAgentBFS,True,71,7056
210,GoalAgentBFS,True,45,2759
211,GoalAgentDFS,True,931,1893
212,GoalAgentUCS,True,107,7421
213,GoalAgentDLS,False,0,3720
214,GoalAgentDFS,True,1250,7055
215,GoalAgentAStar,True,107,2586
216,GoalAgentDLS,True,142,2310
217,GoalAgentUCS,True,28,1306
218,GoalAgentAStar,True,28,214
219,GoalAgentDFS,True,1067,7502
220,GoalAgentBFS,True,55,3844
221,GoalAgentBFS,True,35,2031
222,GoalAgentUCS,True,71,7056
223,GoalAgentDLS,True,141,2697
224,GoalAgentAStar,True,71,1480
225,GoalAgentUCS,True,45,2759
226,GoalAgentAStar,True,45,601
227,GoalAgentDFS,True,1097,4157
228,GoalAgentBFS,True,38,2301
229,GoalAgentDFS,True,263,5423
230,GoalAgentDLS,True,129,2361
231,GoalAgentDLS,False,0,3973
232,GoalAgentUCS,True,35,2031
233,GoalAgentDFS,True,656,5270
234,GoalAgentAStar,True,35,372
235,GoalAgentUCS,True,55,3844
236,GoalAgentDLS,False,0,2389
237,GoalAgentAStar,True,55,697
238,GoalAgentBFS,True,144,8462
239,GoalAgentBFS,True,35,1534
240,GoalAgentBFS,True,51,4063
241,GoalAgentUCS,True,38,2301
242,GoalAgentAStar,True,38,413
243,GoalAgentDFS,True,2946,3616
244,GoalAgentDFS,True,777,4766
245,GoalAgentDLS,False,0,2278
246,GoalAgentDLS,False,0,3657
247,GoalAgentDFS,True,215,8687
248,GoalAgentBFS,True,108,8069
249,GoalAgentDLS,False,0,2783
250,GoalAgentUCS,True,51,4063
251,GoalAgentAStar,True,51,559
252,GoalAgentUCS,True,35,1534
253,GoalAgentAStar,True,35,343
254,GoalAgentBFS,True,22,624
255,GoalAgentDFS,True,2658,4675
256,GoalAgentDLS,False,0,1515
257,GoalAgentUCS,True,144,8462
258,GoalAgentBFS,True,73,6332
259,GoalAgentDFS,True,646,7500
260,GoalAgentDFS,True,409,415
261,GoalAgentDLS,True,114,3460
262,GoalAgentDLS,False,0,3278
263,GoalAgentUCS,True,22,624
264,GoalAgentAStar,True,144,5585
265,GoalAgentAStar,True,22,40
266,GoalAgentBFS,True,35,1370
267,GoalAgentUCS,True,108,8069
268,GoalAgentBFS,True,58,4552
269,GoalAgentDFS,True,613,3717
270,GoalAgentUCS,True,73,6332
271,GoalAgentDLS,True,141,393
272,GoalAgentUCS,True,35,1370
273,GoalAgentAStar,True,35,322
274,GoalAgentAStar,True,73,1749
275,GoalAgentAStar,True,108,3075
276,GoalAgentDFS,True,358,4086
277,GoalAgentDLS,True,142,2030
278,GoalAgentBFS,True,54,3938
279,GoalAgentBFS,True,78,6259
280,GoalAgentUCS,True,58,4552
281,GoalAgentAStar,True,58,363
282,GoalAgentBFS,True,157,8579
283,GoalAgentBFS,True,42,2995
284,GoalAgentDFS,True,1954,6047
285,GoalAgentDFS,True,2651,4379
286,GoalAgentDFS,True,876,7565
287,GoalAgentDLS,False,0,2561
288,GoalAgentDLS,False,0,1901
289,GoalAgentDLS,False,0,3327
290,GoalAgentUCS,True,54,3938
